#"Step","Potential Energy (kJ/mole)","Temperature (K)"
100,-81080.58720808476,121.31874120383213
200,-78313.7057307288,185.32396860376724
300,-76481.71139936894,222.82389004569384
400,-75192.7838633582,249.57350582339248
500,-74760.0232584998,275.2175138159008
600,-73913.4253199622,272.1033746816618
700,-73410.06711988896,279.82156893470335
800,-73219.50578718632,290.92226920809645
900,-73337.76031523198,291.43830015630317
1000,-73069.85076551884,288.9139028217889
1100,-72761.8388331458,290.34052810131897
1200,-72712.72887068242,296.39741008170915
1300,-72779.40636854619,299.73433139791416
1400,-72424.32328443974,290.80775757192606
1500,-72504.57073622197,298.68291387320204
1600,-72551.92991667241,307.9075478787154
1700,-72335.59952955693,300.3021881406422
1800,-72602.98579054326,299.2159084899603
1900,-72645.23365431279,305.4544144483917
2000,-72561.47773390263,303.1927752667898
2100,-72394.57427626103,307.5467468699607
2200,-72460.05600004643,306.0321414618004
2300,-72389.21426802129,305.9075670984179
2400,-72380.62618666142,295.32509727644737
2500,-72440.75621443242,299.3691038889378
2600,-72795.96334104985,306.5323359868537
2700,-72524.70404844731,300.56453388670155
2800,-72585.37475996464,306.6681553104267
2900,-72328.19083815068,299.7429094604556
3000,-72153.89075117558,294.2909183581887
3100,-72533.38107328862,297.14334410354286
3200,-72479.74862699956,292.1639162671813
3300,-72410.95348768681,297.37330216475027
3400,-72453.80194502324,299.6967748805052
3500,-72760.6135142371,312.77254656027725
3600,-72514.95773725957,296.35674676600786
3700,-72501.30208235234,296.8680762760909
3800,-72677.58985548466,292.5250197076282
3900,-73093.92625074834,302.3504755103157
4000,-72820.89785414189,295.7159489978873
4100,-72964.53731947392,310.0887952177814
4200,-72722.99628096074,306.00555496667994
4300,-72735.19479780644,300.6558407639457
4400,-73039.0674193427,300.10269319897304
4500,-72717.46139173955,298.44836434903175
4600,-72626.52679472417,299.16031604618206
4700,-72730.37736921757,300.29531469309296
4800,-72868.82982664555,304.0590496083156
4900,-72844.15893202275,298.8036665997471
5000,-72847.03686218709,298.14112124358076
5100,-72910.69427137822,305.15055307913485
5200,-72616.70664625615,309.49836607330167
5300,-72758.90306501836,298.48473863346237
5400,-72455.20856886357,296.721231942649
5500,-72771.9822428748,305.4594458119977
5600,-73087.61802702397,307.3247620079104
5700,-72869.1587183997,301.47996712509956
5800,-72867.73728971928,298.90822548386615
5900,-72748.86607389897,302.2785792489506
6000,-72850.32148390263,300.07382471926627
6100,-72737.50778608769,298.5724163304005
6200,-72779.8195841834,298.05457079204075
6300,-72642.34109144658,301.70255685053417
6400,-72827.6985276267,306.02419575643347
6500,-72892.24506025761,297.7189266013163
6600,-73025.46584730595,298.61365701569594
6700,-72976.71283178777,300.44996726295085
6800,-72813.8970072791,306.71170547409866
6900,-72604.8387291953,305.2812860515214
7000,-72357.47517042607,306.13271374634087
7100,-72339.5303652808,307.4400709639965
7200,-72545.12514906377,310.2534005396906
7300,-72493.56924849004,312.71629426553426
7400,-72509.56256514043,308.0430097830158
7500,-72355.52014570683,301.19056748948634
7600,-72458.34046392888,300.1577357669474
7700,-72413.67890196294,293.2432949765237
7800,-72744.82519178838,309.12659504225843
7900,-72696.30008345097,304.0872307432674
8000,-72350.4108088538,296.183398418816
8100,-72575.38669615239,299.00208928359854
8200,-72843.35178022832,303.5636390027566
8300,-72618.1450579688,302.0410603954391
8400,-72584.95800428838,311.120307238391
8500,-72596.87807875127,303.29194536803016
8600,-72664.37933760136,304.00348465832747
8700,-72448.3857081458,296.13731882644595
8800,-72667.2801020667,299.8086196190264
8900,-72759.43420057744,305.8509573844024
9000,-72707.45761518925,306.520513657069
9100,-72278.65502577275,300.81978623489016
9200,-72649.6218989417,306.8069439633409
9300,-72509.97343092412,305.84906031287886
9400,-72358.12152891606,299.17771961537676
9500,-72617.53575544804,308.95981771092363
9600,-72878.20538740605,301.6114974174018
9700,-72675.45450239629,296.201544320346
9800,-72662.3186076209,298.1290789634745
9900,-72767.03103189915,306.64489556392004
10000,-72676.8577998206,303.147025599902
