#"Step","Potential Energy (kJ/mole)","Temperature (K)"
100,-28289.603778759803,53.137637923681574
200,-27676.75548726422,96.49208063334962
300,-27185.95226848693,135.22698236467824
400,-26612.01396237602,162.98332872177767
500,-26267.647301066754,184.54227321450398
600,-26079.130220328894,209.10244610773663
700,-25602.927990506025,224.19212634310333
800,-25527.531071174046,238.21234491957898
900,-25067.183546603395,235.15735546061862
1000,-24942.439729534177,243.73976880541127
1100,-24965.329747596727,265.6280018924258
1200,-24647.021177767863,256.55341222235825
1300,-24475.449719196273,266.4904083155054
1400,-24465.529814418493,261.68069371553133
1500,-24410.146876577375,273.6103789938514
1600,-24355.488199130486,277.15418365630455
1700,-24210.02284238077,279.15354441486403
1800,-24011.839939718222,269.3809561580321
1900,-23998.893789409514,271.78686064168994
2000,-24076.461695119826,292.28017751896505
2100,-24165.608557574073,290.1048730136525
2200,-24092.415266291908,288.20690328050915
2300,-24115.03181478716,291.59004969979094
2400,-23916.78311638997,284.7747081292919
2500,-24030.54042121218,299.4461904987077
2600,-23861.286155640235,293.76934025907633
2700,-23815.761221408233,288.3659400779967
2800,-23808.652603170805,300.5692780955791
2900,-23760.94125327011,304.04653592475904
3000,-23702.52142178206,296.2855537194112
3100,-23716.259138380265,299.0217433108505
3200,-23641.376159011474,292.3506428459742
3300,-23677.669200283563,303.04948194968597
3400,-23461.921033696824,288.00189174186164
3500,-23587.4418578583,300.5775204444718
3600,-23867.592155719263,307.4427214697482
3700,-23711.58054954451,292.3353066722148
3800,-23790.16693992223,296.18070023185777
3900,-23864.72672697794,302.7101944403475
4000,-23844.075244969892,303.7086671803939
4100,-23794.481563518144,305.6525103143419
4200,-23690.191856273537,300.43942732040017
4300,-23796.110285380477,303.662523538642
4400,-23542.12514422284,292.83535376507996
4500,-23764.230413443496,315.57224476698
4600,-23558.279659740598,299.8750291019586
4700,-23608.11597635699,306.2590323404442
4800,-23554.13000083118,300.9975762169354
4900,-23623.32817428754,299.29955100467765
5000,-23640.35984559133,304.1898987473031
5100,-23494.717030691303,301.57589184416304
5200,-23720.92486388082,313.95843338992546
5300,-23623.154622289207,302.4979877364781
5400,-23632.37647081804,303.57756654083374
5500,-23711.638135714078,306.23102862228
5600,-23704.084325694566,309.1679396773283
5700,-23681.492583140353,304.5200656246701
5800,-23743.665567084303,307.61679041992954
5900,-23747.394583721732,304.7862191776448
6000,-23767.613782693254,303.5399017088034
6100,-23729.008930495795,301.7804304611527
6200,-23689.362858434994,296.170735096926
6300,-23679.26781095387,301.67621879584914
6400,-23555.289305884944,291.4472611392599
6500,-23722.46779175065,305.22914409027385
6600,-23620.896425357176,305.2402577492317
6700,-23444.47596377795,292.8563987788511
6800,-23514.308451701625,298.6760375790136
6900,-23584.602943738544,312.23834976034414
7000,-23561.3674961972,306.55295315075426
7100,-23559.233457816852,304.66961020888374
7200,-23622.411254271952,312.2387213416467
7300,-23507.808753045596,313.4752087960299
7400,-23418.095336155122,306.35594750017066
7500,-23594.42878842968,309.44257204002463
7600,-23434.294944459194,308.2471612096314
7700,-23424.854827244853,311.65179178422375
7800,-23245.551402096724,294.76071917425605
7900,-23681.417320346547,316.1840364915549
8000,-23755.38786017112,319.68169751225616
8100,-23544.123608245136,296.63669805031265
8200,-23480.747183648025,293.96320435864754
8300,-23620.823509930255,306.8246466431487
8400,-23540.353567548183,306.3823635527695
8500,-23434.608065081382,292.1977540300378
8600,-23587.373458067974,306.3425705732792
8700,-23690.67443119068,313.74622668605605
8800,-23681.659396365372,307.0689106793919
8900,-23551.31539991041,301.11097607444725
9000,-23588.310893265618,308.22817678308337
9100,-23639.358247634576,315.1340152908104
9200,-23613.09242902146,298.3963381985554
9300,-23626.55022706659,302.18808893015876
9400,-23469.679198110563,297.07965674306
9500,-23688.9175107934,295.9776141599599
9600,-23712.30753791341,296.63858973694374
9700,-23661.641264557926,295.906270549872
9800,-23781.53982931524,305.276537596407
9900,-23716.30096366079,305.64541648947517
10000,-23747.4203421656,303.80433247573905
